date,borough,complaint_group,request_volume
2022-01-04,Queens,Housing,548
2022-01-04,Queens,Noise,212
2022-01-04,Queens,Other,447
2022-01-04,Queens,Public Safety,41
2022-01-04,Queens,Sanitation,129
2022-01-04,Queens,Street Condition,189
2022-01-04,Queens,Traffic,517
2022-01-04,Queens,Water,91
2022-01-04,Staten Island,Housing,68
2022-01-04,Staten Island,Noise,22
2022-01-04,Staten Island,Other,116
2022-01-04,Staten Island,Public Safety,4
2022-01-04,Staten Island,Sanitation,94
2022-01-04,Staten Island,Street Condition,82
2022-01-04,Staten Island,Traffic,35
2022-01-04,Staten Island,Water,31
2022-01-05,Bronx,Housing,837
2022-01-05,Bronx,Noise,202
2022-01-05,Bronx,Other,177
2022-01-05,Bronx,Public Safety,23
2022-01-05,Bronx,Sanitation,67
2022-01-05,Bronx,Street Condition,106
2022-01-05,Bronx,Traffic,225
2022-01-05,Bronx,Water,61
2022-01-05,Brooklyn,Housing,683
2022-01-05,Brooklyn,Noise,257
2022-01-05,Brooklyn,Other,526
2022-01-05,Brooklyn,Public Safety,59
2022-01-05,Brooklyn,Sanitation,254
2022-01-05,Brooklyn,Street Condition,183
2022-01-05,Brooklyn,Traffic,526
2022-01-05,Brooklyn,Water,98
2022-01-05,Manhattan,Housing,543
2022-01-05,Manhattan,Noise,249
2022-01-05,Manhattan,Other,301
2022-01-05,Manhattan,Public Safety,201
2022-01-05,Manhattan,Sanitation,86
2022-01-05,Manhattan,Street Condition,87
2022-01-05,Manhattan,Traffic,135
2022-01-05,Manhattan,Water,59
2022-01-05,Queens,Housing,332
2022-01-05,Queens,Noise,207
2022-01-05,Queens,Other,438
2022-01-05,Queens,Public Safety,28
2022-01-05,Queens,Sanitation,139
2022-01-05,Queens,Street Condition,189
2022-01-05,Queens,Traffic,537
2022-01-05,Queens,Water,80
2022-01-05,Staten Island,Housing,69
2022-01-05,Staten Island,Noise,13
2022-01-05,Staten Island,Other,116
2022-01-05,Staten Island,Public Safety,4
2022-01-05,Staten Island,Sanitation,116
2022-01-05,Staten Island,Street Condition,79
2022-01-05,Staten Island,Traffic,53
2022-01-05,Staten Island,Water,35
2022-01-06,Bronx,Housing,730
2022-01-06,Bronx,Noise,155
2022-01-06,Bronx,Other,136
2022-01-06,Bronx,Public Safety,26
2022-01-06,Bronx,Sanitation,85
2022-01-06,Bronx,Street Condition,107
2022-01-06,Bronx,Traffic,264
2022-01-06,Bronx,Water,49
2022-01-06,Brooklyn,Housing,653
2022-01-06,Brooklyn,Noise,250
2022-01-06,Brooklyn,Other,545
2022-01-06,Brooklyn,Public Safety,56
2022-01-06,Brooklyn,Sanitation,343
2022-01-06,Brooklyn,Street Condition,140
2022-01-06,Brooklyn,Traffic,605
2022-01-06,Brooklyn,Water,61
2022-01-06,Manhattan,Housing,469
2022-01-06,Manhattan,Noise,324
2022-01-06,Manhattan,Other,290
2022-01-06,Manhattan,Public Safety,188
2022-01-06,Manhattan,Sanitation,115
2022-01-06,Manhattan,Street Condition,81
2022-01-06,Manhattan,Traffic,144
2022-01-06,Manhattan,Water,33
2022-01-06,Queens,Housing,337
2022-01-06,Queens,Noise,239
2022-01-06,Queens,Other,462
2022-01-06,Queens,Public Safety,50
2022-01-06,Queens,Sanitation,300
2022-01-06,Queens,Street Condition,118
2022-01-06,Queens,Traffic,586
2022-01-06,Queens,Water,82
2022-01-06,Staten Island,Housing,51
2022-01-06,Staten Island,Noise,20
2022-01-06,Staten Island,Other,86
2022-01-06,Staten Island,Public Safety,1
2022-01-06,Staten Island,Sanitation,199
