city,feature_set,model,fold,mae,n_rows
chicago,calendar,ridge,0,77.47904247616376,1813
chicago,calendar,random_forest,0,62.46752559585854,1813
chicago,calendar,lgbm_point,0,58.57112119317387,1813
chicago,calendar,naive_trailing7,1,103.65471594043022,1813
chicago,calendar,seasonal_naive7,1,82.39437396580254,1813
chicago,calendar,ridge,1,68.9430312090504,1813
chicago,calendar,random_forest,1,57.331982274229915,1813
chicago,calendar,lgbm_point,1,51.81041953320786,1813
chicago,calendar,naive_trailing7,2,93.82318178236547,1813
chicago,calendar,seasonal_naive7,2,68.82294539437396,1813
chicago,calendar,ridge,2,61.0612409045508,1813
chicago,calendar,random_forest,2,49.19884069469327,1813
chicago,calendar,lgbm_point,2,44.42026802350632,1813
chicago,calendar,naive_trailing7,3,98.81806004254983,1813
chicago,calendar,seasonal_naive7,3,71.49531163816879,1813
chicago,calendar,ridge,3,60.929299820914224,1813
chicago,calendar,random_forest,3,49.833791545688186,1813
chicago,calendar,lgbm_point,3,47.41156434550267,1813
chicago,calendar,naive_trailing7,4,104.43093530848633,1813
chicago,calendar,seasonal_naive7,4,70.68836183121897,1813
chicago,calendar,ridge,4,63.529125212527376,1813
chicago,calendar,random_forest,4,49.680360053032416,1813
chicago,calendar,lgbm_point,4,48.87325968706885,1813
chicago,calendar_weather,naive_trailing7,0,102.52816956898589,1813
chicago,calendar_weather,seasonal_naive7,0,80.75510204081633,1813
chicago,calendar_weather,ridge,0,93.04209128847506,1813
chicago,calendar_weather,random_forest,0,60.209594282441,1813
chicago,calendar_weather,lgbm_point,0,58.62248847837341,1813
chicago,calendar_weather,naive_trailing7,1,103.65471594043022,1813
chicago,calendar_weather,seasonal_naive7,1,82.39437396580254,1813
chicago,calendar_weather,ridge,1,69.69048056380802,1813
chicago,calendar_weather,random_forest,1,57.47722938589051,1813
chicago,calendar_weather,lgbm_point,1,51.27102606708767,1813
chicago,calendar_weather,naive_trailing7,2,93.82318178236547,1813
chicago,calendar_weather,seasonal_naive7,2,68.82294539437396,1813
chicago,calendar_weather,ridge,2,59.778428200979235,1813
chicago,calendar_weather,random_forest,2,48.043468239962394,1813
chicago,calendar_weather,lgbm_point,2,42.69565852326068,1813
chicago,calendar_weather,naive_trailing7,3,98.81806004254983,1813
chicago,calendar_weather,seasonal_naive7,3,71.49531163816879,1813
chicago,calendar_weather,ridge,3,61.28197626019858,1813
chicago,calendar_weather,random_forest,3,48.127653707905615,1813
chicago,calendar_weather,lgbm_point,3,45.36964211503776,1813
chicago,calendar_weather,naive_trailing7,4,104.43093530848633,1813
chicago,calendar_weather,seasonal_naive7,4,70.68836183121897,1813
