mae,rmse,mape_floored,n_rows,n_days,scope,city,feature_set,model,split,fit_seconds,source_censor_date
30.280649350649348,49.978467719824316,52.458263892808624,2200,275,local,austin,internal,naive_trailing7,val,0.01,
30.371376811594203,50.156071302136,48.159494852497794,2208,276,local,austin,internal,naive_trailing7,test,0.02,
20.517272727272726,39.2618019315096,40.014678512769706,2200,275,local,austin,internal,seasonal_naive7,val,0.0,
21.61322463768116,42.77520656994481,38.985340929136555,2208,276,local,austin,internal,seasonal_naive7,test,0.01,
24.57829322077456,43.6517671953275,44.59598885541907,2200,275,local,austin,internal,ridge,val,0.04,
24.976321727076268,44.895732927816425,40.556971815328566,2208,276,local,austin,internal,ridge,test,0.04,
16.493862902825924,30.750321807623106,36.576663489423346,2200,275,local,austin,internal,random_forest,val,4.48,
16.528608648164422,31.697731804510706,32.69125303227569,2208,276,local,austin,internal,random_forest,test,4.48,
16.500796944418266,31.304364145237464,33.140248956425275,2200,275,local,austin,internal,lgbm_point,val,1.81,
16.719168250786243,32.77662036175324,31.20749717820439,2208,276,local,austin,internal,lgbm_point,test,1.82,
105.76860853432281,188.8002548772577,85.34467540320014,1925,275,local,chicago,internal,naive_trailing7,val,0.0,
111.46058858325938,201.99423320382726,84.0762069834104,1932,276,local,chicago,internal,naive_trailing7,test,0.0,
70.68987012987013,188.11561242056342,55.50517528265202,1925,275,local,chicago,internal,seasonal_naive7,val,0.0,
84.23757763975155,198.97115415641383,49.110728372275986,1932,276,local,chicago,internal,seasonal_naive7,test,0.0,
64.33720623721874,150.03162317349972,54.539286781320975,1925,275,local,chicago,internal,ridge,val,0.01,
71.80940857482071,151.93444047011442,50.74802792821356,1932,276,local,chicago,internal,ridge,test,0.02,
54.80283916397855,134.0779273484816,51.73518760594066,1925,275,local,chicago,internal,random_forest,val,4.65,
60.37425767520889,136.3074473213187,45.116427264241345,1932,276,local,chicago,internal,random_forest,test,4.65,
55.1004730702715,135.1401344784289,40.271776481406064,1925,275,local,chicago,internal,lgbm_point,val,1.62,
59.23550411987784,138.76839061725667,37.55567193877476,1932,276,local,chicago,internal,lgbm_point,test,1.63,
245.53357142857143,461.6407075490844,27.237728728147943,2200,275,local,nyc,internal,naive_trailing7,val,0.0,
305.6182712215321,571.3918531972411,27.37934710999777,2208,276,local,nyc,internal,naive_trailing7,test,0.01,
226.67181818181817,494.43669417373803,26.362787181501464,2200,275,local,nyc,internal,seasonal_naive7,val,0.0,
282.4388586956522,644.0911805190813,25.246462590260744,2208,276,local,nyc,internal,seasonal_naive7,test,0.0,
172.1592225983904,368.80639895349185,20.457967612936546,2200,275,local,nyc,internal,ridge,val,0.02,
215.15430181750915,427.7000271860838,20.377160471683187,2208,276,local,nyc,internal,ridge,test,0.02,
170.738863740284,367.63939510029843,19.483964049370137,2200,275,local,nyc,internal,random_forest,val,5.17,
209.28085225769593,445.3443420239593,18.886129162387014,2208,276,local,nyc,internal,random_forest,test,5.17,
165.7005926366115,366.42630683792333,17.987921855033797,2200,275,local,nyc,internal,lgbm_point,val,1.57,
207.02225946993488,454.16456162098814,17.53598792319083,2208,276,local,nyc,internal,lgbm_point,test,1.58,
42.45555265901981,92.11746887749817,34.97082200834225,2192,274,local,sf,internal,naive_trailing7,val,0.0,
44.76902597402597,97.8083661259611,75.40324061281484,2200,275,local,sf,internal,naive_trailing7,test,0.0,
37.60492700729927,87.9001590226342,34.06746419808784,2192,274,local,sf,internal,seasonal_naive7,val,0.0,
43.78636363636364,108.41276342168976,91.2024374709818,2200,275,local,sf,internal,seasonal_naive7,test,0.0,
31.435369707359023,73.62409004375178,30.355708530299875,2192,274,local,sf,internal,ridge,val,0.01,
35.18345948080877,85.67929351754634,73.86235493677307,2200,275,local,sf,internal,ridge,test,0.02,
32.42785832597307,75.26531773604252,30.173206580032048,2192,274,local,sf,internal,random_forest,val,4.21,
34.51505316415111,85.71427078146932,68.25045749523218,2200,275,local,sf,internal,random_forest,test,4.22,
33.01464336882172,77.63593289221866,26.410153677794927,2192,274,local,sf,internal,lgbm_point,val,1.68,
35.0460107902037,86.47727231233192,64.21436380196,2200,275,local,sf,internal,lgbm_point,test,1.68,
30.280649350649348,49.978467719824316,52.458263892808624,2200,275,local,austin,calendar,naive_trailing7,val,0.0,
30.371376811594203,50.156071302136,48.159494852497794,2208,276,local,austin,calendar,naive_trailing7,test,0.01,
20.517272727272726,39.2618019315096,40.014678512769706,2200,275,local,austin,calendar,seasonal_naive7,val,0.0,
21.61322463768116,42.77520656994481,38.985340929136555,2208,276,local,austin,calendar,seasonal_naive7,test,0.01,
25.22567384429808,42.58309550016823,50.95633516992367,2200,275,local,austin,calendar,ridge,val,0.02,
25.677413996891723,43.80879363604347,46.264275396335734,2208,276,local,austin,calendar,ridge,test,0.02,
15.878603870627657,28.916289202978305,35.2234640989705,2200,275,local,austin,calendar,random_forest,val,5.85,
15.505621274668117,29.383388197577865,30.64737549321226,2208,276,local,austin,calendar,random_forest,test,5.86,
15.389006906764156,28.09300981558954,30.76307472738416,2200,275,local,austin,calendar,lgbm_point,val,1.97,
14.843233048499407,29.28878188782237,27.55295160997634,2208,276,local,austin,calendar,lgbm_point,test,1.97,
105.76860853432281,188.8002548772577,85.34467540320014,1925,275,local,chicago,calendar,naive_trailing7,val,0.0,
111.46058858325938,201.99423320382726,84.0762069834104,1932,276,local,chicago,calendar,naive_trailing7,test,0.01,
70.68987012987013,188.11561242056342,55.50517528265202,1925,275,local,chicago,calendar,seasonal_naive7,val,0.0,
84.23757763975155,198.97115415641383,49.110728372275986,1932,276,local,chicago,calendar,seasonal_naive7,test,0.01,
63.35268958348072,144.33372488457977,48.22255176458772,1925,275,local,chicago,calendar,ridge,val,0.02,
70.50993819207744,144.23587342806005,46.10380675863439,1932,276,local,chicago,calendar,ridge,test,0.02,
49.265573352142965,125.5695088597844,45.227375360983196,1925,275,local,chicago,calendar,random_forest,val,5.98,
54.41829373481655,125.36253524717198,39.2708629019846,1932,276,local,chicago,calendar,random_forest,test,5.99,
48.52709405755261,127.36093148040382,31.127886275653804,1925,275,local,chicago,calendar,lgbm_point,val,2.55,
50.94453068141395,123.55990792380304,27.357853056352415,1932,276,local,chicago,calendar,lgbm_point,test,2.55,
245.53357142857143,461.6407075490844,27.237728728147943,2200,275,local,nyc,calendar,naive_trailing7,val,0.0,
305.6182712215321,571.3918531972411,27.37934710999777,2208,276,local,nyc,calendar,naive_trailing7,test,0.01,
226.67181818181817,494.43669417373803,26.362787181501464,2200,275,local,nyc,calendar,seasonal_naive7,val,0.0,
282.4388586956522,644.0911805190813,25.246462590260744,2208,276,local,nyc,calendar,seasonal_naive7,test,0.01,
170.77752231258253,367.1728887661388,19.49895871187475,2200,275,local,nyc,calendar,ridge,val,0.02,
213.4855865389279,426.904753642776,19.54256502601398,2208,276,local,nyc,calendar,ridge,test,0.02,
160.8568901415009,359.0924083044801,17.68316376770497,2200,275,local,nyc,calendar,random_forest,val,6.61,
195.08828542194627,425.1704754197211,17.138137150705894,2208,276,local,nyc,calendar,random_forest,test,6.61,
146.49653437091345,343.1155350733798,14.854972297017923,2200,275,local,nyc,calendar,lgbm_point,val,2.45,
182.3783847969158,419.20367980902313,14.90756747869941,2208,276,local,nyc,calendar,lgbm_point,test,2.46,
42.45555265901981,92.11746887749817,34.97082200834225,2192,274,local,sf,calendar,naive_trailing7,val,0.0,
44.76902597402597,97.8083661259611,75.40324061281484,2200,275,local,sf,calendar,naive_trailing7,test,0.01,
37.60492700729927,87.9001590226342,34.06746419808784,2192,274,local,sf,calendar,seasonal_naive7,val,0.0,
43.78636363636364,108.41276342168976,91.2024374709818,2200,275,local,sf,calendar,seasonal_naive7,test,0.0,
32.64177575486805,71.65725397266425,95.68957175689286,2192,274,local,sf,calendar,ridge,val,0.02,
36.56246785899608,83.24180388807932,152.97704865243742,2200,275,local,sf,calendar,ridge,test,0.02,
31.32523252591822,72.06100235655103,28.824193441169992,2192,274,local,sf,calendar,random_forest,val,6.04,
32.83966209825871,81.07447045891715,69.49475496236417,2200,275,local,sf,calendar,random_forest,test,6.04,
30.340779325188084,70.99768740085652,23.91867611811661,2192,274,local,sf,calendar,lgbm_point,val,2.85,
31.53173691664462,76.70449782505696,63.566081873453086,2200,275,local,sf,calendar,lgbm_point,test,2.85,
30.280649350649348,49.978467719824316,52.458263892808624,2200,275,local,austin,weather,naive_trailing7,val,0.0,
30.371376811594203,50.156071302136,48.159494852497794,2208,276,local,austin,weather,naive_trailing7,test,0.01,
20.517272727272726,39.2618019315096,40.014678512769706,2200,275,local,austin,weather,seasonal_naive7,val,0.0,
21.61322463768116,42.77520656994481,38.985340929136555,2208,276,local,austin,weather,seasonal_naive7,test,0.01,
24.411629661234283,43.40468184722096,43.32349845983293,2200,275,local,austin,weather,ridge,val,0.02,
24.954539187805263,44.877377627190846,39.675452693198295,2208,276,local,austin,weather,ridge,test,0.02,
16.569337252191048,30.563887339469225,36.89294191577848,2200,275,local,austin,weather,random_forest,val,7.21,
16.617347297829998,31.74850133558228,32.51347696133941,2208,276,local,austin,weather,random_forest,test,7.21,
16.46240891195655,31.345385474924733,32.725975169795504,2200,275,local,austin,weather,lgbm_point,val,2.85,
16.529684252475338,32.34906136407901,30.35334791791378,2208,276,local,austin,weather,lgbm_point,test,2.85,
105.76860853432281,188.8002548772577,85.34467540320014,1925,275,local,chicago,weather,naive_trailing7,val,0.0,
111.46058858325938,201.99423320382726,84.0762069834104,1932,276,local,chicago,weather,naive_trailing7,test,0.01,
70.68987012987013,188.11561242056342,55.50517528265202,1925,275,local,chicago,weather,seasonal_naive7,val,0.0,
84.23757763975155,198.97115415641383,49.110728372275986,1932,276,local,chicago,weather,seasonal_naive7,test,0.01,
64.44344195136706,149.79748695110416,50.505921305841696,1925,275,local,chicago,weather,ridge,val,0.02,
72.85102375278898,151.35097774889934,47.91926620890178,1932,276,local,chicago,weather,ridge,test,0.02,
53.130045784596035,133.57594661792498,45.84509027839303,1925,275,local,chicago,weather,random_forest,val,7.77,
59.2681636025609,134.40141112311,41.45144283434589,1932,276,local,chicago,weather,random_forest,test,7.77,
52.580394425759536,134.68324274194546,38.085341065648386,1925,275,local,chicago,weather,lgbm_point,val,3.13,
58.66494509106411,136.93144047652672,35.962087209289514,1932,276,local,chicago,weather,lgbm_point,test,3.14,
245.53357142857143,461.6407075490844,27.237728728147943,2200,275,local,nyc,weather,naive_trailing7,val,0.0,
305.6182712215321,571.3918531972411,27.37934710999777,2208,276,local,nyc,weather,naive_trailing7,test,0.01,
226.67181818181817,494.43669417373803,26.362787181501464,2200,275,local,nyc,weather,seasonal_naive7,val,0.0,
282.4388586956522,644.0911805190813,25.246462590260744,2208,276,local,nyc,weather,seasonal_naive7,test,0.01,
171.22356482830574,370.87177889815104,20.25590773319525,2200,275,local,nyc,weather,ridge,val,0.02,
214.6247984282119,427.632052348945,19.71213004669107,2208,276,local,nyc,weather,ridge,test,0.03,
164.5817759989182,357.1141802841919,18.7272573287157,2200,275,local,nyc,weather,random_forest,val,8.22,
200.15167865653206,424.5136007635835,18.143353660626822,2208,276,local,nyc,weather,random_forest,test,8.22,
153.9626889155107,342.8560270672229,16.992820332375402,2200,275,local,nyc,weather,lgbm_point,val,2.38,
186.72788307801972,414.4166655320094,16.272901287683734,2208,276,local,nyc,weather,lgbm_point,test,2.39,
42.45555265901981,92.11746887749817,34.97082200834225,2192,274,local,sf,weather,naive_trailing7,val,0.0,
44.76902597402597,97.8083661259611,75.40324061281484,2200,275,local,sf,weather,naive_trailing7,test,0.01,
37.60492700729927,87.9001590226342,34.06746419808784,2192,274,local,sf,weather,seasonal_naive7,val,0.0,
43.78636363636364,108.41276342168976,91.2024374709818,2200,275,local,sf,weather,seasonal_naive7,test,0.01,
31.85030984627955,73.3623670009941,54.329758924934765,2192,274,local,sf,weather,ridge,val,0.02,
35.866331321921514,85.2284713081516,104.77641671473033,2200,275,local,sf,weather,ridge,test,0.03,
32.409730037577226,74.6061540997728,31.08781992644095,2192,274,local,sf,weather,random_forest,val,6.9,
33.21513637241464,83.00464906565456,69.16310030347033,2200,275,local,sf,weather,random_forest,test,6.9,
32.24146357375394,74.65132135615943,26.580070919747012,2192,274,local,sf,weather,lgbm_point,val,2.87,
33.2253244864699,82.8946819953394,65.66187964448832,2200,275,local,sf,weather,lgbm_point,test,2.87,
30.280649350649348,49.978467719824316,52.458263892808624,2200,275,local,austin,calendar_weather,naive_trailing7,val,0.0,
30.371376811594203,50.156071302136,48.159494852497794,2208,276,local,austin,calendar_weather,naive_trailing7,test,0.01,
20.517272727272726,39.2618019315096,40.014678512769706,2200,275,local,austin,calendar_weather,seasonal_naive7,val,0.0,
21.61322463768116,42.77520656994481,38.985340929136555,2208,276,local,austin,calendar_weather,seasonal_naive7,test,0.01,
25.138936582575695,42.37751778620301,51.10376134389426,2200,275,local,austin,calendar_weather,ridge,val,0.02,
25.60902906107524,43.76514903673797,45.938343756143354,2208,276,local,austin,calendar_weather,ridge,test,0.03,
15.874166539007062,28.862280887257384,35.69341545900721,2200,275,local,austin,calendar_weather,random_forest,val,8.57,
15.467279440557638,29.41469708120544,30.722926516772514,2208,276,local,austin,calendar_weather,random_forest,test,8.58,
15.244530136923965,28.41420408897742,29.93435108720415,2200,275,local,austin,calendar_weather,lgbm_point,val,3.13,
14.844345127011985,29.19310108421892,27.46042031309178,2208,276,local,austin,calendar_weather,lgbm_point,test,3.13,
105.76860853432281,188.8002548772577,85.34467540320014,1925,275,local,chicago,calendar_weather,naive_trailing7,val,0.0,
111.46058858325938,201.99423320382726,84.0762069834104,1932,276,local,chicago,calendar_weather,naive_trailing7,test,0.01,
70.68987012987013,188.11561242056342,55.50517528265202,1925,275,local,chicago,calendar_weather,seasonal_naive7,val,0.0,
84.23757763975155,198.97115415641383,49.110728372275986,1932,276,local,chicago,calendar_weather,seasonal_naive7,test,0.01,
63.59666699971213,144.06312073780953,48.67401441962896,1925,275,local,chicago,calendar_weather,ridge,val,0.02,
70.80969503683919,143.66223369772104,43.84288331612334,1932,276,local,chicago,calendar_weather,ridge,test,0.03,
48.6069517028108,125.58245689057948,41.847758366526975,1925,275,local,chicago,calendar_weather,random_forest,val,8.52,
53.7406510225142,124.6754528890106,36.82801080485189,1932,276,local,chicago,calendar_weather,random_forest,test,8.53,
46.801866466778925,125.70384589162114,30.99058367704434,1925,275,local,chicago,calendar_weather,lgbm_point,val,2.41,
