city,regime,b0_condition,policy,total_loss,rank
nyc,moderate,zero,proportional,81040481.0,1
nyc,moderate,zero,point_greedy_fixed,91571785.0,4
nyc,moderate,zero,point_greedy_proportional,81065321.0,2
nyc,moderate,zero,quantile_full,82149267.0,3
nyc,moderate,warmup,uniform,461181380.0,5
nyc,moderate,warmup,proportional,187274537.0,2
nyc,moderate,warmup,point_greedy_fixed,214550399.0,4
nyc,moderate,warmup,point_greedy_proportional,187250801.0,1
nyc,moderate,warmup,quantile_full,190666838.0,3
nyc,moderate,train_avg,uniform,160759193.6,5
nyc,moderate,train_avg,proportional,83390999.9,1
nyc,moderate,train_avg,point_greedy_fixed,93885240.1,4
nyc,moderate,train_avg,point_greedy_proportional,83390999.9,2
nyc,moderate,train_avg,quantile_full,84492771.7,3
nyc,generous,zero,uniform,133717691.0,5
nyc,generous,zero,proportional,17608997.0,2
nyc,generous,zero,point_greedy_fixed,27875499.0,4
nyc,generous,zero,point_greedy_proportional,17607812.0,1
nyc,generous,zero,quantile_full,18748666.0,3
nyc,generous,warmup,uniform,386567915.0,5
nyc,generous,warmup,proportional,17608997.0,2
nyc,generous,warmup,point_greedy_fixed,28045135.0,4
nyc,generous,warmup,point_greedy_proportional,17608052.0,1
nyc,generous,warmup,quantile_full,18748666.0,3
nyc,generous,train_avg,uniform,135363587.1,5
nyc,generous,train_avg,proportional,18406799.9,1
nyc,generous,train_avg,point_greedy_fixed,29587662.1,4
nyc,generous,train_avg,point_greedy_proportional,18406799.9,2
nyc,generous,train_avg,quantile_full,19722258.7,3
sf,scarce,zero,uniform,57455738.0,5
sf,scarce,zero,proportional,29492447.0,2
sf,scarce,zero,point_greedy_fixed,30255010.0,4
sf,scarce,zero,point_greedy_proportional,29485573.0,1
sf,scarce,zero,quantile_full,29644860.0,3
sf,scarce,warmup,uniform,171776263.0,5
sf,scarce,warmup,proportional,89385523.0,1
sf,scarce,warmup,point_greedy_fixed,91291793.0,4
sf,scarce,warmup,point_greedy_proportional,89385523.0,2
sf,scarce,warmup,quantile_full,89629960.0,3
sf,scarce,train_avg,uniform,57927392.1,5
sf,scarce,train_avg,proportional,29992014.1,1
sf,scarce,train_avg,point_greedy_fixed,30786489.3,4
sf,scarce,train_avg,point_greedy_proportional,29992014.1,2
sf,scarce,train_avg,quantile_full,30139413.2,3
sf,moderate,zero,uniform,53355269.0,5
sf,moderate,zero,proportional,16214879.0,2
sf,moderate,zero,point_greedy_fixed,16972510.0,4
sf,moderate,zero,point_greedy_proportional,16203073.0,1
sf,moderate,zero,quantile_full,16362360.0,3
sf,moderate,warmup,uniform,159657069.0,5
sf,moderate,warmup,proportional,49730523.0,1
sf,moderate,warmup,point_greedy_fixed,51636793.0,4
sf,moderate,warmup,point_greedy_proportional,49730523.0,2
sf,moderate,warmup,quantile_full,49974960.0,3
sf,moderate,train_avg,uniform,53778776.2,5
sf,moderate,train_avg,proportional,16717130.4,2
sf,moderate,train_avg,point_greedy_fixed,17503989.3,4
sf,moderate,train_avg,point_greedy_proportional,16709514.1,1
sf,moderate,train_avg,quantile_full,16856913.2,3
sf,generous,zero,uniform,49559250.0,5
sf,generous,zero,proportional,3722991.0,3
sf,generous,zero,point_greedy_fixed,3952068.0,4
sf,generous,zero,point_greedy_proportional,3693584.0,2
sf,generous,zero,quantile_full,3693238.0,1
sf,generous,warmup,uniform,148326050.0,5
sf,generous,warmup,proportional,4446935.0,2
sf,generous,warmup,point_greedy_fixed,6328853.0,4
sf,generous,warmup,point_greedy_proportional,4410523.0,1
sf,generous,warmup,quantile_full,4724181.0,3
sf,generous,train_avg,uniform,49982381.1,5
sf,generous,train_avg,proportional,3739916.5,3
sf,generous,train_avg,point_greedy_fixed,3971175.0,4
sf,generous,train_avg,point_greedy_proportional,3710331.8,1
sf,generous,train_avg,quantile_full,3710386.8,2
