city,regime,units,policy,config,total_loss,final_carryover,served_fraction_other,loss_share_other,served_fraction_by_family,pct_reduction_vs_uniform
austin,scarce,8,greedy_ev_point,local/calendar_weather/random_forest,16591515.0,110173.0,0.9998,0.0005,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9987, ""sanitation"": 0.3874, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",16.95
austin,scarce,8,proportional,local/calendar_weather/lgbm_point,16383102.0,108390.0,0.5515,0.1895,"{""housing_building"": 0.0, ""noise"": 0.575, ""other"": 0.5515, ""parks_trees"": 0.0986, ""public_safety"": 0.3213, ""sanitation"": 0.5689, ""streets_transport"": 0.5456, ""water_sewer"": 0.0}",17.993
austin,scarce,8,greedy_ev_point,local/calendar_weather/lgbm_point,16555517.0,109927.0,0.9998,0.0005,"{""housing_building"": 0.9919, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9963, ""sanitation"": 0.3927, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",17.13
austin,scarce,8,proportional,global/calendar_weather/lgbm_point,16383102.0,108390.0,0.5515,0.1895,"{""housing_building"": 0.0, ""noise"": 0.5773, ""other"": 0.5515, ""parks_trees"": 0.0986, ""public_safety"": 0.3163, ""sanitation"": 0.5679, ""streets_transport"": 0.5462, ""water_sewer"": 0.0}",17.993
austin,scarce,8,greedy_ev_point,global/calendar_weather/lgbm_point,16584105.0,110210.0,0.9998,0.0005,"{""housing_building"": 0.9939, ""noise"": 0.9981, ""other"": 0.9998, ""parks_trees"": 0.9972, ""public_safety"": 0.9985, ""sanitation"": 0.3863, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",16.987
austin,scarce,8,greedy_ev_point,quantile/median_arm,16570052.0,110006.0,0.9998,0.0005,"{""housing_building"": 0.9919, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9961, ""public_safety"": 0.9984, ""sanitation"": 0.3906, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",17.057
austin,scarce,8,greedy_ev_point,quantile/implied_mean_arm,16607397.0,110395.0,0.9998,0.0005,"{""housing_building"": 0.9884, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.9934, ""public_safety"": 0.9997, ""sanitation"": 0.3832, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",16.87
austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410288.0,108684.0,0.9991,0.0009,"{""housing_building"": 0.9969, ""noise"": 0.997, ""other"": 0.9991, ""parks_trees"": 0.9931, ""public_safety"": 0.9984, ""sanitation"": 0.4169, ""streets_transport"": 0.002, ""water_sewer"": 0.0}",17.857
austin,moderate,11,uniform,uniform,17113888.0,114472.0,0.5888,0.1703,"{""housing_building"": 1.0, ""noise"": 1.0, ""other"": 0.5888, ""parks_trees"": 1.0, ""public_safety"": 1.0, ""sanitation"": 0.2913, ""streets_transport"": 0.183, ""water_sewer"": 1.0}",0.0
austin,moderate,11,hindsight_myopic_reference,hindsight_myopic_reference,10648098.0,66986.0,0.9994,0.0006,"{""housing_building"": 0.9969, ""noise"": 0.9984, ""other"": 0.9994, ""parks_trees"": 0.9931, ""public_safety"": 0.9984, ""sanitation"": 0.9996, ""streets_transport"": 0.1883, ""water_sewer"": 0.0}",37.781
