city,regime,units,policy,config,total_loss,pct_reduction_vs_uniform,final_carryover,served_fraction_other
sf,moderate,33,proportional,local/calendar/lgbm_point,16208781.0,69.621,134915.0,0.773
sf,moderate,33,greedy_ev_point,local/calendar/lgbm_point,17082255.0,67.984,141265.0,1.0
sf,moderate,33,proportional,local/calendar_weather/ridge,16231352.0,69.579,134997.0,0.773
sf,moderate,33,greedy_ev_point,local/calendar_weather/ridge,17446685.0,67.301,144072.0,1.0
sf,moderate,33,proportional,local/calendar_weather/random_forest,16214879.0,69.61,134937.0,0.775
sf,moderate,33,greedy_ev_point,local/calendar_weather/random_forest,17211660.0,67.741,142224.0,1.0
sf,moderate,33,proportional,local/calendar_weather/lgbm_point,16214833.0,69.61,134937.0,0.775
sf,moderate,33,greedy_ev_point,local/calendar_weather/lgbm_point,17128131.0,67.898,141415.0,1.0
sf,moderate,33,proportional,global/calendar_weather/lgbm_point,16214879.0,69.61,134937.0,0.773
sf,moderate,33,greedy_ev_point,global/calendar_weather/lgbm_point,16972510.0,68.19,140523.0,1.0
sf,moderate,33,greedy_ev_point,quantile/median_arm,17054878.0,68.035,140833.0,1.0
sf,moderate,33,greedy_ev_point,quantile/implied_mean_arm,17093374.0,67.963,141230.0,1.0
sf,moderate,33,greedy_ev_quantile,quantile/full_arm,16362360.0,69.333,135687.0,1.0
sf,generous,41,uniform,uniform,49559250.0,0.0,377585.0,1.0
sf,generous,41,proportional,local/internal/naive_trailing7,3758245.0,92.417,36529.0,0.947
sf,generous,41,greedy_ev_point,local/internal/naive_trailing7,4630588.0,90.656,45617.0,1.0
sf,generous,41,proportional,local/internal/seasonal_naive7,3729275.0,92.475,36365.0,0.948
sf,generous,41,greedy_ev_point,local/internal/seasonal_naive7,4401330.0,91.119,44702.0,1.0
