city,regime,contrast,n_days,mean_daily_diff,ols_slope_per_day,newey_west_t,trend_dominance_ratio,verdict
austin,scarce,full_vs_median_arm,276,-578.855,-4.5575,-15.42,1.087,trending
austin,scarce,full_vs_implied_mean_arm,276,-714.163,-5.4514,-12.386,1.053,trending
austin,scarce,valbest_vs_naive_greedy,276,-1810.605,-12.5119,-18.676,0.954,trending
austin,scarce,greedy_vs_proportional_valbest,276,687.572,6.3806,8.079,1.281,trending
austin,scarce,LEVEL_proportional_valbest,276,59359.065,393.8805,34.061,,trending
austin,moderate,full_vs_median_arm,276,-676.362,-5.492,-12.943,1.121,trending
austin,moderate,full_vs_implied_mean_arm,276,-875.678,-7.0476,-10.288,1.111,trending
austin,moderate,valbest_vs_naive_greedy,276,-2637.562,-20.6677,-56.62,1.081,trending
austin,moderate,greedy_vs_proportional_valbest,276,789.036,7.4206,8.257,1.298,trending
austin,moderate,LEVEL_proportional_valbest,276,38592.065,243.8805,21.09,,trending
austin,generous,full_vs_median_arm,276,-872.409,-6.7362,-15.431,1.066,trending
austin,generous,full_vs_implied_mean_arm,276,-1047.486,-8.6296,-12.77,1.137,trending
austin,generous,valbest_vs_naive_greedy,276,-5412.554,-37.5503,-36.511,0.957,trending
austin,generous,greedy_vs_proportional_valbest,276,895.217,8.5503,8.611,1.318,trending
austin,generous,LEVEL_proportional_valbest,276,24777.004,143.8818,12.442,,trending
chicago,scarce,full_vs_median_arm,276,-3434.554,-18.8271,-12.345,0.756,trending
chicago,scarce,full_vs_implied_mean_arm,276,-4633.688,-26.3739,-13.059,0.785,trending
chicago,scarce,valbest_vs_naive_greedy,276,-9744.841,-60.8516,-28.347,0.862,trending
chicago,scarce,greedy_vs_proportional_valbest,276,3402.88,19.7888,14.643,0.803,trending
chicago,scarce,LEVEL_proportional_valbest,276,134647.402,745.2614,10.606,,trending
chicago,moderate,full_vs_median_arm,276,-4887.888,-34.8476,-49.498,0.984,trending
chicago,moderate,full_vs_implied_mean_arm,276,-6076.783,-43.3775,-43.385,0.985,trending
chicago,moderate,valbest_vs_naive_greedy,276,-14018.5,-99.2134,-32.959,0.977,trending
chicago,moderate,greedy_vs_proportional_valbest,276,5205.79,38.5658,43.876,1.022,trending
chicago,moderate,LEVEL_proportional_valbest,276,72340.402,295.2615,4.202,,trending
chicago,generous,full_vs_median_arm,276,-4911.076,-12.285,-0.886,0.345,stationary-compatible
chicago,generous,full_vs_implied_mean_arm,276,-6047.188,-16.538,-0.988,0.377,stationary-compatible
chicago,generous,valbest_vs_naive_greedy,276,-20437.344,-130.3235,-9.853,0.88,trending
chicago,generous,greedy_vs_proportional_valbest,276,5324.014,13.9863,0.917,0.363,stationary-compatible
chicago,generous,LEVEL_proportional_valbest,276,19751.373,-51.4699,-0.976,,stationary-compatible
nyc,scarce,full_vs_median_arm,276,-29346.533,-213.7063,-87.992,1.005,trending
nyc,scarce,full_vs_implied_mean_arm,276,-34431.54,-246.049,-50.258,0.986,trending
nyc,scarce,valbest_vs_naive_greedy,276,-54137.612,-382.0181,-55.941,0.974,trending
nyc,scarce,greedy_vs_proportional_valbest,276,30481.504,220.0419,62.179,0.996,trending
nyc,scarce,LEVEL_proportional_valbest,276,529074.931,3961.5616,64.34,,trending
nyc,moderate,full_vs_median_arm,276,-36728.659,-286.3077,-75.131,1.076,trending
nyc,moderate,full_vs_implied_mean_arm,276,-42909.221,-326.7219,-91.909,1.051,trending
nyc,moderate,valbest_vs_naive_greedy,276,-68753.63,-511.8849,-146.544,1.027,trending
nyc,moderate,greedy_vs_proportional_valbest,276,38156.899,297.5722,72.649,1.076,trending
nyc,moderate,LEVEL_proportional_valbest,276,293624.931,2261.5616,36.73,,trending
nyc,generous,full_vs_median_arm,276,-35670.877,-308.9635,-30.561,1.195,trending
nyc,generous,full_vs_implied_mean_arm,276,-41400.859,-350.388,-38.135,1.168,trending
nyc,generous,valbest_vs_naive_greedy,276,-71800.659,-558.9414,-80.896,1.074,trending
nyc,generous,greedy_vs_proportional_valbest,276,37197.471,329.0651,26.151,1.221,trending
nyc,generous,LEVEL_proportional_valbest,276,63800.714,566.0916,9.329,,trending
sf,scarce,full_vs_median_arm,275,-2518.247,-16.3586,-20.023,0.893,trending
sf,scarce,full_vs_implied_mean_arm,275,-2658.233,-17.8057,-24.147,0.921,trending
sf,scarce,valbest_vs_naive_greedy,275,-4528.535,-31.3044,-42.528,0.95,trending
sf,scarce,greedy_vs_proportional_valbest,275,2772.956,17.4809,16.062,0.867,trending
sf,scarce,LEVEL_proportional_valbest,275,107245.262,871.4434,40.272,,trending
sf,moderate,full_vs_median_arm,275,-2518.247,-16.3586,-20.023,0.893,trending
sf,moderate,full_vs_implied_mean_arm,275,-2658.233,-17.8057,-24.147,0.921,trending
sf,moderate,valbest_vs_naive_greedy,275,-4528.535,-31.3044,-42.528,0.95,trending
sf,moderate,greedy_vs_proportional_valbest,275,2755.022,17.4795,16.066,0.872,trending
sf,moderate,LEVEL_proportional_valbest,275,58963.196,521.4448,24.098,,trending
sf,generous,full_vs_median_arm,275,-969.404,-10.8297,-9.321,1.536,trending
sf,generous,full_vs_implied_mean_arm,275,-968.091,-11.8901,-7.966,1.689,trending
sf,generous,valbest_vs_naive_greedy,275,-2467.349,-25.6755,-15.633,1.431,trending
sf,generous,greedy_vs_proportional_valbest,275,833.004,10.3442,7.062,1.707,trending
sf,generous,LEVEL_proportional_valbest,275,13538.149,150.7006,12.599,,trending
