city,regime,policy,config,unmet_weighted,red_vs_uniform_pct,oracle_gap_closed_pct
austin,scarce,greedy_ev_point,global/calendar_weather/lgbm_point,11667767.0,62.744,98.718
chicago,generous,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,4023406.0,94.017,98.289
chicago,generous,proportional,local/internal/naive_trailing7,4539654.0,93.249,97.487
chicago,generous,greedy_ev_point,local/internal/naive_trailing7,9819761.0,85.397,89.278
chicago,generous,proportional,local/internal/seasonal_naive7,4643241.0,93.095,97.326
chicago,generous,greedy_ev_point,local/internal/seasonal_naive7,7269984.0,89.189,93.242
chicago,generous,proportional,local/internal/ridge,4518260.0,93.281,97.52
chicago,generous,greedy_ev_point,local/internal/ridge,6265046.0,90.683,94.804
chicago,generous,proportional,local/internal/random_forest,4509709.0,93.294,97.533
chicago,generous,greedy_ev_point,local/internal/random_forest,5396133.0,91.975,96.155
chicago,generous,proportional,local/internal/lgbm_point,4502874.0,93.304,97.544
chicago,generous,greedy_ev_point,local/internal/lgbm_point,4678514.0,93.043,97.271
chicago,generous,proportional,local/calendar/random_forest,4506083.0,93.299,97.539
chicago,generous,greedy_ev_point,local/calendar/random_forest,5186333.0,92.287,96.481
chicago,generous,proportional,local/calendar/lgbm_point,4505215.0,93.3,97.54
chicago,generous,greedy_ev_point,local/calendar/lgbm_point,4323623.0,93.57,97.822
chicago,generous,proportional,local/calendar_weather/ridge,4547819.0,93.237,97.474
chicago,generous,greedy_ev_point,local/calendar_weather/ridge,6226765.0,90.74,94.864
chicago,generous,proportional,local/calendar_weather/random_forest,4494316.0,93.316,97.557
chicago,generous,greedy_ev_point,local/calendar_weather/random_forest,5189471.0,92.283,96.476
chicago,generous,proportional,local/calendar_weather/lgbm_point,4500431.0,93.307,97.548
chicago,generous,greedy_ev_point,local/calendar_weather/lgbm_point,4345992.0,93.537,97.788
chicago,generous,proportional,global/calendar_weather/lgbm_point,4494561.0,93.316,97.557
chicago,generous,greedy_ev_point,global/calendar_weather/lgbm_point,4295124.0,93.613,97.867
chicago,moderate,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,20246378.0,74.353,97.665
chicago,moderate,proportional,local/internal/naive_trailing7,31037660.0,60.683,79.709
chicago,moderate,greedy_ev_point,local/internal/naive_trailing7,30839084.0,60.934,80.04
chicago,moderate,proportional,local/internal/seasonal_naive7,31172210.0,60.512,79.486
chicago,moderate,greedy_ev_point,local/internal/seasonal_naive7,27131112.0,65.632,86.21
chicago,moderate,proportional,local/internal/ridge,31068210.0,60.644,79.659
chicago,moderate,greedy_ev_point,local/internal/ridge,24742964.0,68.657,90.183
chicago,moderate,proportional,local/internal/random_forest,31050610.0,60.666,79.688
chicago,moderate,greedy_ev_point,local/internal/random_forest,23558478.0,70.157,92.154
chicago,moderate,proportional,local/internal/lgbm_point,31058160.0,60.657,79.675
chicago,moderate,greedy_ev_point,local/internal/lgbm_point,22420938.0,71.598,94.047
chicago,moderate,proportional,local/calendar/random_forest,31058360.0,60.657,79.675
chicago,moderate,greedy_ev_point,local/calendar/random_forest,23516285.0,70.211,92.225
chicago,moderate,proportional,local/calendar/lgbm_point,31049556.0,60.668,79.69
chicago,moderate,greedy_ev_point,local/calendar/lgbm_point,21925018.0,72.226,94.872
chicago,moderate,proportional,local/calendar_weather/ridge,31091760.0,60.614,79.619
chicago,moderate,greedy_ev_point,local/calendar_weather/ridge,25316282.0,67.93,89.229
chicago,moderate,proportional,local/calendar_weather/random_forest,31040310.0,60.68,79.705
chicago,moderate,greedy_ev_point,local/calendar_weather/random_forest,23397977.0,70.36,92.421
chicago,moderate,proportional,local/calendar_weather/lgbm_point,31055960.0,60.66,79.679
chicago,moderate,greedy_ev_point,local/calendar_weather/lgbm_point,21884158.0,72.278,94.94
chicago,moderate,proportional,global/calendar_weather/lgbm_point,31049910.0,60.667,79.689
chicago,moderate,greedy_ev_point,global/calendar_weather/lgbm_point,21771184.0,72.421,95.128
chicago,scarce,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,51905119.0,43.176,96.949
chicago,scarce,proportional,local/internal/naive_trailing7,64032110.0,29.9,67.138
chicago,scarce,greedy_ev_point,local/internal/naive_trailing7,58796910.0,35.631,80.007
chicago,scarce,proportional,local/internal/seasonal_naive7,64062960.0,29.866,67.062
chicago,scarce,greedy_ev_point,local/internal/seasonal_naive7,58809713.0,35.617,79.975
chicago,scarce,proportional,local/internal/ridge,64039510.0,29.892,67.119
chicago,scarce,greedy_ev_point,local/internal/ridge,56482192.0,38.165,85.697
chicago,scarce,proportional,local/internal/random_forest,64028860.0,29.903,67.146
chicago,scarce,greedy_ev_point,local/internal/random_forest,55143983.0,39.63,88.987
chicago,scarce,proportional,local/internal/lgbm_point,64024206.0,29.908,67.157
chicago,scarce,greedy_ev_point,local/internal/lgbm_point,53853126.0,41.043,92.16
chicago,scarce,proportional,local/calendar/random_forest,64004256.0,29.93,67.206
chicago,scarce,greedy_ev_point,local/calendar/random_forest,54987394.0,39.802,89.372
chicago,scarce,proportional,local/calendar/lgbm_point,64028010.0,29.904,67.148
chicago,scarce,greedy_ev_point,local/calendar/lgbm_point,53201170.0,41.757,93.763
chicago,scarce,proportional,local/calendar_weather/ridge,64041360.0,29.89,67.115
chicago,scarce,greedy_ev_point,local/calendar_weather/ridge,56631959.0,38.001,85.329
chicago,scarce,proportional,local/calendar_weather/random_forest,63998656.0,29.936,67.22
chicago,scarce,greedy_ev_point,local/calendar_weather/random_forest,54837244.0,39.966,89.741
chicago,scarce,proportional,local/calendar_weather/lgbm_point,64023256.0,29.909,67.159
chicago,scarce,greedy_ev_point,local/calendar_weather/lgbm_point,53244864.0,41.709,93.655
chicago,scarce,proportional,global/calendar_weather/lgbm_point,64030906.0,29.901,67.141
chicago,scarce,greedy_ev_point,global/calendar_weather/lgbm_point,53096992.0,41.871,94.019
nyc,generous,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,1307224.0,99.296,99.696
nyc,generous,proportional,local/internal/naive_trailing7,2028089.0,98.908,99.306
nyc,generous,greedy_ev_point,local/internal/naive_trailing7,2607243.0,98.596,98.993
nyc,generous,proportional,local/internal/seasonal_naive7,2052619.0,98.895,99.293
nyc,generous,greedy_ev_point,local/internal/seasonal_naive7,2769689.0,98.509,98.905
nyc,generous,proportional,local/internal/ridge,1697917.0,99.086,99.484
nyc,generous,greedy_ev_point,local/internal/ridge,1657782.0,99.107,99.506
nyc,generous,proportional,local/internal/random_forest,1677747.0,99.097,99.495
nyc,generous,greedy_ev_point,local/internal/random_forest,1582417.0,99.148,99.547
nyc,generous,proportional,local/internal/lgbm_point,1685693.0,99.092,99.491
nyc,generous,greedy_ev_point,local/internal/lgbm_point,1531044.0,99.176,99.575
nyc,generous,proportional,local/calendar/random_forest,1652460.0,99.11,99.509
nyc,generous,greedy_ev_point,local/calendar/random_forest,1528850.0,99.177,99.576
nyc,generous,proportional,local/calendar/lgbm_point,1630250.0,99.122,99.521
nyc,generous,greedy_ev_point,local/calendar/lgbm_point,1445812.0,99.222,99.621
nyc,generous,proportional,local/calendar_weather/ridge,1704403.0,99.082,99.481
nyc,generous,greedy_ev_point,local/calendar_weather/ridge,1617442.0,99.129,99.528
nyc,generous,proportional,local/calendar_weather/random_forest,1637498.0,99.118,99.517
nyc,generous,greedy_ev_point,local/calendar_weather/random_forest,1484038.0,99.201,99.6
nyc,generous,proportional,local/calendar_weather/lgbm_point,1592528.0,99.143,99.541
nyc,generous,greedy_ev_point,local/calendar_weather/lgbm_point,1410432.0,99.241,99.64
nyc,generous,proportional,global/calendar_weather/lgbm_point,1601628.0,99.138,99.536
nyc,generous,greedy_ev_point,global/calendar_weather/lgbm_point,1402173.0,99.245,99.644
nyc,moderate,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,42321509.0,81.878,95.266
nyc,moderate,proportional,local/internal/naive_trailing7,55776080.0,76.117,88.563
nyc,moderate,greedy_ev_point,local/internal/naive_trailing7,55518471.0,76.227,88.691
nyc,moderate,proportional,local/internal/seasonal_naive7,55426168.0,76.267,88.737
nyc,moderate,greedy_ev_point,local/internal/seasonal_naive7,50775243.0,78.258,91.054
nyc,moderate,proportional,local/internal/ridge,55242774.0,76.345,88.828
nyc,moderate,greedy_ev_point,local/internal/ridge,47626816.0,79.606,92.623
nyc,moderate,proportional,local/internal/random_forest,55149768.0,76.385,88.875
nyc,moderate,greedy_ev_point,local/internal/random_forest,46439760.0,80.115,93.214
nyc,moderate,proportional,local/internal/lgbm_point,55108501.0,76.403,88.895
nyc,moderate,greedy_ev_point,local/internal/lgbm_point,44043827.0,81.141,94.408
nyc,moderate,proportional,local/calendar/random_forest,55085302.0,76.413,88.907
nyc,moderate,greedy_ev_point,local/calendar/random_forest,45693292.0,80.434,93.586
nyc,moderate,proportional,local/calendar/lgbm_point,55057458.0,76.424,88.921
nyc,moderate,greedy_ev_point,local/calendar/lgbm_point,42622517.0,81.749,95.116
nyc,moderate,proportional,local/calendar_weather/ridge,55268976.0,76.334,88.815
nyc,moderate,greedy_ev_point,local/calendar_weather/ridge,48177826.0,79.37,92.348
nyc,moderate,proportional,local/calendar_weather/random_forest,55096279.0,76.408,88.901
nyc,moderate,greedy_ev_point,local/calendar_weather/random_forest,45656940.0,80.45,93.604
nyc,moderate,proportional,local/calendar_weather/lgbm_point,54966711.0,76.463,88.966
nyc,moderate,greedy_ev_point,local/calendar_weather/lgbm_point,41582946.0,82.194,95.634
nyc,moderate,proportional,global/calendar_weather/lgbm_point,54931533.0,76.478,88.983
nyc,moderate,greedy_ev_point,global/calendar_weather/lgbm_point,41798706.0,82.102,95.526
nyc,scarce,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,115945401.0,59.62,96.964
nyc,scarce,proportional,local/internal/naive_trailing7,187484121.0,34.705,56.443
nyc,scarce,greedy_ev_point,local/internal/naive_trailing7,131664935.0,54.145,88.06
nyc,scarce,proportional,local/internal/seasonal_naive7,187516221.0,34.694,56.425
nyc,scarce,greedy_ev_point,local/internal/seasonal_naive7,128268622.0,55.328,89.984
nyc,scarce,proportional,local/internal/ridge,187498071.0,34.7,56.435
nyc,scarce,greedy_ev_point,local/internal/ridge,124108874.0,56.777,92.34
nyc,scarce,proportional,local/internal/random_forest,187499021.0,34.7,56.435
nyc,scarce,greedy_ev_point,local/internal/random_forest,122938480.0,57.184,93.003
nyc,scarce,proportional,local/internal/lgbm_point,187522071.0,34.692,56.422
nyc,scarce,greedy_ev_point,local/internal/lgbm_point,120743266.0,57.949,94.246
nyc,scarce,proportional,local/calendar/random_forest,187510521.0,34.696,56.428
nyc,scarce,greedy_ev_point,local/calendar/random_forest,122204988.0,57.44,93.418
nyc,scarce,proportional,local/calendar/lgbm_point,187498021.0,34.7,56.435
nyc,scarce,greedy_ev_point,local/calendar/lgbm_point,118720795.0,58.653,95.392
nyc,scarce,proportional,local/calendar_weather/ridge,187506941.0,34.697,56.43
nyc,scarce,greedy_ev_point,local/calendar_weather/ridge,124051486.0,56.797,92.372
nyc,scarce,proportional,local/calendar_weather/random_forest,187499571.0,34.699,56.434
nyc,scarce,greedy_ev_point,local/calendar_weather/random_forest,121839753.0,57.567,93.625
nyc,scarce,proportional,local/calendar_weather/lgbm_point,187498121.0,34.7,56.435
nyc,scarce,greedy_ev_point,local/calendar_weather/lgbm_point,117775569.0,58.982,95.927
nyc,scarce,proportional,global/calendar_weather/lgbm_point,187533021.0,34.688,56.415
nyc,scarce,greedy_ev_point,global/calendar_weather/lgbm_point,117875588.0,58.947,95.871
sf,generous,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,335256.0,99.634,99.841
sf,generous,proportional,local/internal/naive_trailing7,338028.0,99.631,99.838
sf,generous,greedy_ev_point,local/internal/naive_trailing7,1110877.0,98.786,98.992
sf,generous,proportional,local/internal/seasonal_naive7,330029.0,99.639,99.847
sf,generous,greedy_ev_point,local/internal/seasonal_naive7,585282.0,99.361,99.567
sf,generous,proportional,local/internal/ridge,321622.0,99.649,99.856
sf,generous,greedy_ev_point,local/internal/ridge,494375.0,99.46,99.667
sf,generous,proportional,local/internal/random_forest,351791.0,99.616,99.823
sf,generous,greedy_ev_point,local/internal/random_forest,501625.0,99.452,99.659
sf,generous,proportional,local/internal/lgbm_point,317599.0,99.653,99.861
sf,generous,greedy_ev_point,local/internal/lgbm_point,512408.0,99.44,99.647
sf,generous,proportional,local/calendar/random_forest,350324.0,99.617,99.825
sf,generous,greedy_ev_point,local/calendar/random_forest,432877.0,99.527,99.734
sf,generous,proportional,local/calendar/lgbm_point,345593.0,99.622,99.83
sf,generous,greedy_ev_point,local/calendar/lgbm_point,384714.0,99.58,99.787
sf,generous,proportional,local/calendar_weather/ridge,371290.0,99.594,99.802
sf,generous,greedy_ev_point,local/calendar_weather/ridge,551593.0,99.397,99.604
sf,generous,proportional,local/calendar_weather/random_forest,339688.0,99.629,99.836
